pregame_total,inning,season,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
6.5,2,2021,37,56.75675675675676,72.97297297297297,78.37837837837837,57.19503287070854,-0.43827611395178545,-0.023973165074269265,1.135135135135135,50.0,25.0,
6.5,2,2022,83,63.85542168674698,81.92771084337349,73.49397590361446,60.21193206561185,3.643489621135132,0.2145346161947636,0.6867469879518072,43.333333333333336,16.666666666666664,
7.0,2,2021,113,62.83185840707964,83.1858407079646,75.22123893805309,62.573420001566284,0.2584384055133615,0.01600607081794781,0.7168141592920354,42.857142857142854,16.666666666666664,
7.0,2,2022,278,62.94964028776978,82.73381294964028,76.2589928057554,63.091972465193315,-0.142332177423532,-0.008850509044425432,0.7697841726618705,56.310679611650485,31.06796116504854,
7.0,2,2023,96,66.66666666666666,81.25,83.33333333333334,67.70833333333334,-1.041666666666674,-0.07161148740394323,0.5729166666666666,37.5,21.875,
7.0,2,2024,86,62.7906976744186,79.06976744186046,76.74418604651163,60.68144943212547,2.109248242293138,0.1227289232080209,0.686046511627907,50.0,21.875,
7.0,2,2025,82,65.85365853658537,84.14634146341463,80.48780487804879,67.72754312908982,-1.87388459250446,-0.12946201566306575,0.573170731707317,42.857142857142854,17.857142857142858,
7.5,2,2021,269,58.36431226765799,77.69516728624535,74.72118959107806,58.054753251060646,0.3095590165973494,0.0171098721754665,0.8550185873605948,54.46428571428571,24.107142857142858,
7.5,2,2022,478,59.41422594142259,78.8702928870293,76.35983263598327,60.22522364804538,-0.8109977066227847,-0.04675826665630234,0.7343096234309623,45.36082474226804,22.164948453608247,
7.5,2,2023,275,56.72727272727273,73.0909090909091,78.9090909090909,57.67537190082644,-0.9480991735537181,-0.05240363383436981,0.8872727272727273,50.42016806722689,30.252100840336134,
7.5,2,2024,366,55.73770491803278,79.23497267759562,70.76502732240438,56.07065006420019,-0.3329451461674071,-0.01804626343230119,0.9371584699453552,49.382716049382715,24.691358024691358,
7.5,2,2025,224,60.26785714285714,82.58928571428571,73.21428571428571,60.467155612244895,-0.1992984693877542,-0.011868184334192811,0.7410714285714286,48.31460674157304,16.853932584269664,
8.0,2,2021,363,58.40220385674931,79.06336088154269,73.27823691460054,57.93623689942247,0.46596695732684656,0.025881768074100888,0.8292011019283747,49.00662251655629,28.47682119205298,
8.0,2,2022,443,60.722347629796836,78.3295711060948,77.20090293453724,60.47113615865558,0.25121147114125497,0.014533587359016675,0.8216704288939052,53.44827586206896,28.735632183908045,
8.0,2,2023,372,56.98924731182796,73.38709677419355,75.0,55.04032258064516,1.9489247311827995,0.10184470386660757,0.9758064516129032,54.37499999999999,31.25,
8.0,2,2024,589,55.178268251273344,74.19354838709677,74.36332767402376,55.172791500082155,0.005476751191191287,0.000286658985531896,0.9151103565365025,56.060606060606055,25.757575757575758,
8.0,2,2025,379,58.31134564643799,75.98944591029023,75.98944591029023,57.74395889752925,0.5673867489087492,0.03109737484737434,0.8073878627968337,48.734177215189874,23.417721518987342,
8.5,2,2021,526,57.414448669201526,77.9467680608365,75.2851711026616,58.68235770359554,-1.2679090343940214,-0.07089561799634453,0.8992395437262357,53.57142857142857,29.017857142857146,
8.5,2,2022,506,52.17391304347826,75.69169960474308,69.96047430830039,52.95427205549219,-0.7803590120139314,-0.03968442720597349,0.9841897233201581,50.413223140495866,28.512396694214875,
8.5,2,2023,628,54.77707006369427,75.15923566878982,73.24840764331209,55.05294332427278,-0.2758732605785186,-0.014423213763942556,0.9378980891719745,52.816901408450704,29.929577464788732,
8.5,2,2024,733,58.52660300136425,77.08049113233287,75.85266030013642,58.46760309628524,0.05899990507901576,0.003279868021281575,0.8485675306957708,50.98684210526315,26.31578947368421,
8.5,2,2025,478,57.11297071129707,77.61506276150628,74.05857740585773,57.4806113338352,-0.36764062253812346,-0.020122779522173638,0.8200836820083682,47.80487804878049,26.34146341463415,
9.0,2,2021,383,57.96344647519582,77.02349869451697,76.50130548302873,58.92398203000907,-0.9605355548132466,-0.053852216629860915,0.8511749347258486,51.5527950310559,31.67701863354037,
9.0,2,2022,268,61.19402985074627,78.35820895522389,77.98507462686567,61.10770773000669,0.08632212073957923,0.005059049123888513,0.8768656716417911,57.692307692307686,33.65384615384615,
9.0,2,2023,493,53.9553752535497,73.42799188640974,73.22515212981745,53.76775876469354,0.18761648885615712,0.009592555995273996,0.9655172413793104,52.42290748898678,29.074889867841406,
9.0,2,2024,378,54.232804232804234,76.71957671957672,70.37037037037037,53.98785028414659,0.24495394865764464,0.012693397478529145,0.9153439153439153,54.33526011560693,23.699421965317917,
9.0,2,2025,317,53.94321766561514,74.13249211356468,76.02523659305994,56.35940252166905,-2.4161848560539045,-0.12923867821920254,0.8832807570977917,45.89041095890411,23.972602739726025,
9.5,2,2021,212,47.16981132075472,72.16981132075472,67.9245283018868,49.02100391598434,-1.851192595229617,-0.0884944231503635,1.1226415094339623,58.92857142857143,30.357142857142854,
9.5,2,2022,146,54.109589041095894,78.08219178082192,73.28767123287672,57.22462000375306,-3.1150309626571615,-0.1701831163892459,1.082191780821918,53.73134328358209,34.32835820895522,
9.5,2,2023,278,53.597122302158276,71.94244604316546,74.10071942446042,53.30987008953987,0.28725221261840517,0.014594553633735654,1.1079136690647482,65.11627906976744,39.53488372093023,
9.5,2,2024,110,55.45454545454545,77.27272727272727,68.18181818181817,52.68595041322314,2.7685950413223193,0.1418406412386901,1.1181818181818182,63.26530612244898,36.734693877551024,
9.5,2,2025,129,51.93798449612403,74.4186046511628,72.09302325581395,53.65062195781503,-1.7126374616909912,-0.08751037580648183,1.0,53.2258064516129,24.193548387096776,
10.0,2,2021,84,55.952380952380956,70.23809523809523,72.61904761904762,51.00623582766439,4.946145124716561,0.2426054658969302,1.0595238095238095,72.97297297297297,37.83783783783784,
10.0,2,2022,37,35.13513513513514,62.16216216216216,51.35135135135135,31.921110299488674,3.2140248356464616,0.13259027996013786,1.4594594594594594,58.333333333333336,29.166666666666668,
10.0,2,2023,83,51.80722891566265,66.26506024096386,75.90361445783132,50.29757584555088,1.5096530701117716,0.07465995199068445,1.0481927710843373,50.0,35.0,
10.0,2,2024,35,54.285714285714285,62.857142857142854,82.85714285714286,52.08163265306123,2.2040816326530543,0.12103364804668479,1.0,75.0,37.5,
10.5,2,2021,76,36.84210526315789,64.47368421052632,64.47368421052632,41.5685595567867,-4.726454293628812,-0.20634920634920612,1.3157894736842106,54.166666666666664,29.166666666666668,
10.5,2,2023,43,41.86046511627907,65.11627906976744,69.76744186046511,45.42996214169822,-3.5694970254191496,-0.1630748496654422,1.2790697674418605,64.0,40.0,
11.0,2,2021,31,38.70967741935484,74.19354838709677,54.83870967741935,40.68678459937565,-1.9771071800208095,-0.09079380373804835,1.3548387096774193,47.368421052631575,26.31578947368421,
11.5,2,2023,30,53.333333333333336,66.66666666666666,70.0,46.666666666666664,6.6666666666666705,0.3086066999241839,1.4,78.57142857142857,57.14285714285714,
6.5,3,2021,37,48.64864864864865,67.56756756756756,81.08108108108108,54.7845142439737,-6.135865595325052,-0.3346640106136303,0.8918918918918919,36.84210526315789,21.052631578947366,
6.5,3,2022,83,66.26506024096386,83.13253012048193,79.51807228915662,66.10538539700973,0.15967484395412734,0.010565929132921927,0.6144578313253012,42.857142857142854,17.857142857142858,
7.0,3,2021,113,55.75221238938053,73.45132743362832,72.56637168141593,53.30096327042055,2.451249118959975,0.1244104585750868,0.9557522123893806,66.0,30.0,
7.0,3,2022,278,61.51079136690647,76.97841726618705,79.49640287769785,61.19507271880338,0.3157186481030916,0.018576307350875815,0.762589928057554,49.532710280373834,25.233644859813083,
7.0,3,2023,96,61.458333333333336,79.16666666666666,77.08333333333334,61.02430555555556,0.434027777777779,0.025427929407405875,0.84375,62.16216216216216,37.83783783783784,
7.0,3,2024,86,62.7906976744186,83.72093023255815,74.4186046511628,62.30394808004327,0.48674959437533527,0.030218361150951726,0.7790697674418605,65.625,40.625,
7.0,3,2025,82,54.87804878048781,75.60975609756098,73.17073170731707,55.324211778703145,-0.4461629982153381,-0.023448952480527162,0.8292682926829268,51.35135135135135,24.324324324324326,
7.5,3,2021,269,57.249070631970255,78.81040892193309,73.97769516728626,58.30212407235942,-1.0530534403891623,-0.05873190056257259,0.7955390334572491,43.47826086956522,21.73913043478261,
7.5,3,2022,478,55.02092050209205,75.73221757322176,73.43096234309623,55.610896167784176,-0.5899756656921218,-0.031156681419342757,0.9079497907949791,50.697674418604656,25.581395348837212,
7.5,3,2023,275,52.0,73.0909090909091,72.0,52.625454545454545,-0.6254545454545402,-0.03141009821978195,1.0727272727272728,60.60606060606061,34.090909090909086,
7.5,3,2024,366,55.46448087431693,73.77049180327869,73.49726775956285,54.219295888202105,1.2451849861148334,0.06413816647848282,0.8743169398907104,55.828220858895705,23.31288343558282,
7.5,3,2025,224,58.92857142857143,78.57142857142857,72.76785714285714,57.17474489795919,1.7538265306122458,0.09601674957527456,0.8392857142857143,55.434782608695656,29.347826086956523,
8.0,3,2021,363,53.71900826446281,72.45179063360881,72.72727272727273,52.69221136989732,1.0267968945654848,0.05160601943648214,0.9944903581267218,58.333333333333336,30.952380952380953,
8.0,3,2022,443,54.627539503386004,75.84650112866818,73.36343115124153,55.64359563615611,-1.0160561327701045,-0.053700823086551684,0.8893905191873589,51.741293532338304,22.885572139303484,
