pregame_total,inning,favorite_strength_bucket,mean_favorite_novig_prob,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
8.5,2,60-65%,0.6230576499017262,541,55.637707948244,77.81885397412199,72.45841035120148,56.386304543171576,-0.7485965949275752,-0.040334301367084754,0.9131238447319778,52.083333333333336,28.749999999999996,4.273199120821064
8.5,2,65-70%,0.6705670558488015,259,54.440154440154444,76.06177606177607,74.13127413127413,56.38556372147106,-1.9454092813166124,-0.10411026169657177,0.9111969111969112,50.0,28.8135593220339,6.123925276470019
9.0,2,50-55%,0.5224164428949932,665,54.58646616541354,73.23308270676692,74.58646616541354,54.62196845497201,-0.035502289558475564,-0.0018417936872669712,0.9939849624060151,52.317880794701985,32.450331125827816,3.964062298564334
9.0,2,55-60%,0.57272498458952,583,56.60377358490566,75.47169811320755,75.64322469982847,57.08922618854979,-0.485452603644132,-0.026286097855252516,0.8816466552315609,56.52173913043478,25.691699604743086,5.220679416774783
9.0,2,60-65%,0.6225784305894491,353,56.09065155807366,77.90368271954674,73.08781869688386,56.93810238425796,-0.8474508261843039,-0.04605519381684153,0.830028328611898,45.806451612903224,22.58064516129032,9.11753396823746
9.0,2,65-70%,0.6701180590294172,182,58.24175824175825,78.02197802197803,75.82417582417582,59.15952179688443,-0.9177635551261831,-0.05176468008163903,0.8406593406593407,51.31578947368421,34.21052631578947,8.227805333677225
9.5,2,50-55%,0.5229071572822487,330,54.848484848484844,75.15151515151514,72.42424242424242,54.42791551882461,0.4205693296602364,0.021777752847968995,1.1606060606060606,66.44295302013423,43.624161073825505,5.365797912413789
9.5,2,55-60%,0.5734233781382506,284,52.46478873239436,71.47887323943662,75.0,53.60915492957747,-1.144366197183111,-0.058531842667502144,0.9788732394366197,52.59259259259259,27.40740740740741,2.7774297279297873
9.5,2,60-65%,0.6233701622375828,168,48.214285714285715,73.80952380952381,68.45238095238095,50.52437641723356,-2.310090702947848,-0.11306379536832079,1.119047619047619,57.47126436781609,28.735632183908045,5.197677161625932
7.0,3,50-55%,0.5221921261378533,220,60.0,75.45454545454545,78.18181818181819,58.99173553719008,1.0082644628099158,0.05672624755803813,0.8272727272727273,59.09090909090909,29.545454545454547,9.038518261791085
7.0,3,55-60%,0.5738164094215192,221,55.65610859728507,74.6606334841629,76.01809954751131,56.75559468479351,-1.099486087508439,-0.05920327401661496,0.8506787330316742,57.14285714285714,25.510204081632654,6.300972037666616
7.0,3,60-65%,0.6245331784667764,127,68.50393700787401,81.10236220472441,81.10236220472441,65.77593155186311,2.728005456010907,0.17799352750809008,0.6456692913385826,57.49999999999999,35.0,9.08243641193353
7.5,3,50-55%,0.5230866177842145,545,57.247706422018354,73.02752293577981,78.89908256880734,57.61804561905565,-0.3703391970372949,-0.0204507544291963,0.8733944954128441,54.506437768240346,26.180257510729614,4.391813293285693
7.5,3,55-60%,0.5741877077848376,512,55.859375,77.5390625,70.5078125,54.67109680175781,1.1882781982421875,0.062441280810972326,0.900390625,53.53982300884957,26.991150442477874,4.014012055027248
7.5,3,60-65%,0.6223500169966041,312,54.166666666666664,77.88461538461539,70.83333333333334,55.168269230769226,-1.001602564102566,-0.053095791659677226,0.9006410256410257,51.048951048951054,25.174825174825177,3.4624230260406113
7.5,3,65-70%,0.6716788657374662,182,53.2967032967033,75.27472527472527,70.32967032967034,52.940466127279315,0.35623716942397854,0.018076469057635748,0.9395604395604396,49.411764705882355,28.235294117647058,4.853906381432147
8.0,3,50-55%,0.5227995417342518,792,52.90404040404041,71.5909090909091,73.48484848484848,52.60847107438017,0.2955693296602391,0.014847584363876485,1.0012626262626263,53.88739946380697,28.9544235924933,3.0796119105355437
8.0,3,55-60%,0.572632248584316,694,55.18731988472623,73.48703170028818,75.07204610951008,55.16821832255063,0.01910156217559411,0.0010003498574276777,0.9380403458213257,55.948553054662376,27.974276527331188,2.1799006465844446
8.0,3,60-65%,0.6233307875910687,401,55.36159600997507,76.30922693266832,72.06982543640898,54.99592664224725,0.36566936772781666,0.01916888612774717,0.9177057356608479,53.63128491620112,30.726256983240223,7.748804786154537
