pregame_total,inning,season,n,mean_runs,run_variance,p0_under_pct,p1_pct,p2_pct,p3plus_pct,score_pct,mean_runs_given_score,multi_run_given_score_pct,threeplus_given_score_pct,runs_from_multi_run_innings_pct,nb_p0_pct,nb_zero_residual_pp
7.0,9,2023,96,0.5520833333333334,0.9025219298245615,68.75,14.583333333333334,10.416666666666668,6.25,31.25,1.7666666666666666,53.333333333333336,20.0,73.58490566037736,65.21506054812532,3.5349394518746746
7.0,9,2024,86,0.5,1.5,77.90697674418605,10.465116279069768,4.651162790697675,6.976744186046512,22.093023255813947,2.263157894736842,52.63157894736842,31.57894736842105,79.06976744186046,75.98356856515926,1.9234081790267976
7.0,9,2025,82,0.5853658536585366,1.603733815115929,69.51219512195121,18.29268292682927,7.317073170731707,4.878048780487805,30.487804878048784,1.92,40.0,16.0,68.75,71.24004400367622,-1.7278488817250026
7.5,1,2021,269,0.9219330855018587,1.7737335626699218,53.159851301115246,22.676579925650557,13.382899628252787,10.780669144981413,46.840148698884754,1.9682539682539681,51.587301587301596,23.015873015873016,75.40322580645162,52.050494101498124,1.1093571996171225
7.5,1,2022,478,0.9205020920502092,1.6582370639369142,51.88284518828452,25.10460251046025,10.87866108786611,12.133891213389122,48.11715481171548,1.9130434782608696,47.82608695652174,25.217391304347824,72.72727272727273,50.863474432660595,1.0193707556239273
7.5,1,2023,275,0.8218181818181818,1.3367485069674852,54.90909090909091,22.181818181818183,14.181818181818182,8.727272727272728,45.09090909090909,1.8225806451612903,50.806451612903224,19.35483870967742,73.00884955752213,52.83139050120518,2.0777004078857297
7.5,1,2024,366,0.8469945355191257,1.7463882027097835,58.7431693989071,18.579234972677597,11.202185792349727,11.475409836065573,41.2568306010929,2.052980132450331,54.966887417218544,27.81456953642384,78.06451612903226,56.147565632841946,2.5956037660651576
7.5,1,2025,224,0.90625,1.9956558295964126,54.91071428571429,23.660714285714285,9.821428571428571,11.607142857142858,45.08928571428571,2.00990099009901,47.524752475247524,25.742574257425744,73.89162561576354,55.14918738783698,-0.2384731021226938
7.5,2,2021,269,0.8550185873605948,1.8035288242800864,58.36431226765799,18.95910780669145,12.639405204460965,10.037174721189592,41.63568773234201,2.0535714285714284,54.46428571428571,24.107142857142858,77.82608695652173,56.25561104752877,2.1087012201292277
7.5,2,2022,478,0.7343096234309623,1.3233906125277404,59.41422594142259,22.17573221757322,9.414225941422593,8.99581589958159,40.58577405857741,1.809278350515464,45.36082474226804,22.164948453608247,69.8005698005698,58.32401478559134,1.0902111558312555
7.5,2,2023,275,0.8872727272727273,2.0054943596549437,56.72727272727273,21.454545454545453,8.727272727272728,13.090909090909092,43.27272727272727,2.0504201680672267,50.42016806722689,30.252100840336134,75.81967213114754,56.319715116073375,0.4075576111993495
7.5,2,2024,366,0.9371584699453552,2.415218204955461,55.73770491803278,22.404371584699454,10.92896174863388,10.92896174863388,44.26229508196722,2.117283950617284,49.382716049382715,24.691358024691358,76.0932944606414,56.976769329377795,-1.2390644113450144
