pregame_total,inning,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp,clean_i1_i8,target_cell
7.5,3,1612,55.521091811414394,75.74441687344913,73.20099255583126,55.4456649569913,0.0754268544230885,0.0039730770152628155,0.9001240694789082,53.13807531380753,26.499302649930268,2.5992592638478453,True,False
8.0,3,2146,54.14725069897484,73.57875116495805,73.53215284249767,54.104039766217994,0.04321093275684307,0.0022214820820123074,0.9520037278657968,53.760162601626014,28.04878048780488,0.8604198866136697,True,True
8.5,3,2871,51.48032044583769,73.8070358760014,69.66213862765586,51.41555964890379,0.0647607969339048,0.0032039084323796747,1.0794148380355277,58.3632447954056,30.65326633165829,2.2689559712548735,True,True
9.0,3,1839,50.24469820554649,71.94127243066885,69.65742251223492,50.112436097708965,0.1322621078375219,0.006403279528688841,1.0918977705274606,55.30054644808743,30.491803278688522,2.566455028877718,True,False
9.5,3,875,51.542857142857144,72.22857142857143,70.62857142857143,51.01400816326531,0.5288489795918339,0.025925390199555164,1.078857142857143,57.54716981132076,31.839622641509436,5.701155584240256,True,False
10.0,3,261,44.44444444444444,65.90038314176245,64.75095785440614,42.67112931401477,1.7733151304296702,0.07830156485846398,1.4291187739463602,65.51724137931035,41.37931034482759,12.426846227939507,True,False
10.5,3,186,47.31182795698925,67.20430107526882,65.59139784946237,44.080240490230075,3.231587466759173,0.14489452557656735,1.2903225806451613,61.224489795918366,35.714285714285715,8.270785678970064,True,False
11.0,3,124,45.96774193548387,66.93548387096774,67.74193548387096,45.34339229968782,0.624349635796051,0.028390341710796938,1.1612903225806452,50.74626865671642,31.343283582089555,7.905799683453399,True,False
11.5,3,103,50.48543689320388,69.90291262135922,67.96116504854369,47.50683382034122,2.9786030728626622,0.1391662733039732,1.0776699029126213,64.70588235294117,35.294117647058826,17.670164252079317,True,False
6.5,4,149,56.375838926174495,70.46979865771812,75.83892617449665,53.443538579343276,2.932300346831218,0.1501652794616844,0.9194630872483222,53.84615384615385,26.153846153846157,31.580158199660758,True,False
7.0,4,655,59.69465648854961,77.25190839694656,77.55725190839695,59.91445719946391,-0.21980071091429743,-0.012567612356917347,0.7938931297709924,52.27272727272727,22.348484848484848,3.671857461198993,True,False
7.5,4,1612,55.955334987593055,75.18610421836229,75.0,56.389578163771716,-0.43424317617866137,-0.023217534438233316,0.9181141439205955,53.52112676056338,27.74647887323944,2.511547089395388,True,False
8.0,4,2146,54.007455731593666,73.76514445479962,72.87977632805219,53.75987228672257,0.2475834448711023,0.012659207400302262,0.9613233923578751,52.38095238095239,29.88855116514691,1.919542647033632,True,False
8.5,4,2871,52.385928247997214,73.24973876698014,71.71717171717171,52.53264093389485,-0.14671268589763198,-0.007359149380407795,0.9958202716823407,53.474762253109,29.334308705193855,1.7327665072886296,True,False
9.0,4,1839,49.374660141381185,71.77814029363785,69.60304513322458,49.95977138437001,-0.5851112429888228,-0.028263137307288477,1.0755845568243612,56.605800214822764,27.926960257787325,1.7470184081237266,True,False
9.5,4,875,47.77142857142857,68.22857142857143,69.37142857142857,47.33113469387755,0.4402938775510179,0.020515752278229996,1.1337142857142857,59.08096280087527,33.04157549234136,3.8404753313378963,True,False
10.0,4,261,45.593869731800766,67.81609195402298,69.34865900383141,47.029550358920154,-1.4356806271193845,-0.06665431930747756,1.210727969348659,59.154929577464785,30.28169014084507,8.643393624932912,True,False
10.5,4,186,44.086021505376344,72.04301075268818,61.82795698924731,44.54272170193086,-0.4567001965545159,-0.020947148975950288,1.2473118279569892,60.57692307692307,32.69230769230769,5.590212816049797,True,False
11.0,4,124,52.41935483870967,71.7741935483871,73.38709677419355,52.67299687825182,-0.2536420395421457,-0.012751401351793217,1.0887096774193548,55.932203389830505,28.8135593220339,13.035638351396175,True,False
11.5,4,103,46.601941747572816,71.84466019417476,61.165048543689316,43.94382128381562,2.658120463757191,0.12126458340281307,1.4077669902912622,58.18181818181818,40.0,9.215992066168893,True,False
6.5,5,149,55.033557046979865,77.85234899328859,70.46979865771812,54.8623935858745,0.1711634611053614,0.009036008780994172,0.9261744966442953,58.2089552238806,26.865671641791046,8.89961520029248,True,False
7.0,5,655,55.72519083969466,73.58778625954199,75.41984732824427,55.499796049181285,0.22539479051337796,0.011874176249780282,0.9068702290076336,53.79310344827586,26.20689655172414,1.7543397253264765,True,False
7.5,5,1612,56.07940446650124,75.80645161290323,73.44913151364764,55.67918034099096,0.4002241255102734,0.021162535377631755,0.955955334987593,56.92090395480226,30.36723163841808,5.252354947210772,True,False
8.0,5,2146,52.79589934762349,72.8331780055918,72.41379310344827,52.74126683163545,0.05463251598804009,0.00274796065208361,0.9930102516309413,52.61599210266535,28.726554787759127,3.2753281204316127,True,False
8.5,5,2870,52.12543554006969,72.57839721254355,71.67247386759583,52.01873277568018,0.10670276438951021,0.005308172707280104,1.0358885017421602,56.33187772925764,29.54876273653566,3.688368612909401,True,False
