pregame_total,inning,season,n,mean_runs,p0_under_pct,poisson_zero_residual_pp,nb_zero_residual_pp
9.0,6,2025,317,1.0946372239747635,53.31230283911672,19.84620364772202,1.882936042016603
9.0,7,2021,382,1.0549738219895288,50.78534031413613,15.965186073084858,0.185548493282095
9.0,7,2022,266,0.9398496240601504,55.639097744360896,16.57043966403744,1.880309621979992
9.0,7,2023,493,1.0912778904665315,53.14401622718052,19.56530420125221,3.5731922556540843
9.0,7,2024,378,1.1164021164021165,51.587301587301596,18.84171901857635,3.9364646685014604
9.0,7,2025,317,1.1798107255520505,47.3186119873817,16.58492157546209,0.7578233072778828
9.0,8,2021,380,1.013157894736842,52.63157894736842,16.324516096061775,1.9354835922635094
9.0,8,2022,266,1.1578947368421053,50.37593984962406,18.961255151252622,2.313256133811886
9.0,8,2023,493,1.0628803245436105,52.94117647058824,18.395242378303493,2.5870872108038845
9.0,8,2024,378,0.9074074074074074,54.4973544973545,14.140438565790186,3.0968068995844034
9.0,8,2025,316,1.0316455696202531,56.32911392405063,20.687117537545806,-1.297088934365731
9.0,9,2021,378,0.7433862433862434,62.16931216931217,14.61920976502507,0.9894345607847077
9.0,9,2022,266,0.7330827067669173,65.78947368421053,17.746904339773135,0.8305825952807377
9.0,9,2023,493,0.7119675456389453,65.31440162271805,16.246620015134503,1.6714738931862816
9.0,9,2024,377,0.726790450928382,63.92572944297083,15.579910900842048,1.3575437633117415
9.0,9,2025,316,0.7120253164556962,61.70886075949367,12.643913755850267,-1.1056047441827976
9.5,1,2021,212,1.1650943396226414,50.943396226415096,19.7540725509727,2.1053169787787707
9.5,1,2022,146,1.13013698630137,45.20547945205479,12.906578619855075,-0.7710636103842095
9.5,1,2023,278,1.2553956834532374,43.52517985611511,15.028872781919429,3.167725333362237
9.5,1,2024,110,1.1636363636363636,52.72727272727272,21.492442601288296,3.7325641025167835
9.5,1,2025,129,1.2403100775193798,44.18604651162791,15.256596480724571,-1.231870038188898
9.5,2,2021,212,1.1226415094339623,47.16981132075472,14.62790524213547,3.694479352865576
9.5,2,2022,146,1.082191780821918,54.109589041095894,20.22438686299392,2.0482622152424357
9.5,2,2023,278,1.1079136690647482,53.597122302158276,20.572397514355174,4.34313879716553
9.5,2,2024,110,1.1181818181818182,55.45454545454545,22.76718842997453,3.6412952782447827
9.5,2,2025,129,1.0,51.93798449612403,15.150040378979801,0.48680180044053944
9.5,3,2021,212,1.0518867924528301,53.301886792452834,18.374075622222236,3.764906120489575
9.5,3,2022,146,1.2123287671232876,43.83561643835616,14.085250901633856,2.80035088293939
9.5,3,2023,278,1.1151079136690647,50.35971223021583,17.571722803418105,2.100524156672645
9.5,3,2024,110,1.0727272727272728,51.81818181818182,17.61075040452717,4.313035500743045
9.5,3,2025,129,0.8992248062015504,59.68992248062015,19.00142725961392,1.582380778976844
9.5,4,2021,212,1.2028301886792452,49.528301886792455,19.49400382637303,0.6366187369283072
9.5,4,2022,146,1.0753424657534247,49.31506849315068,15.196979241153214,5.273797200034375
9.5,4,2023,278,1.169064748201439,42.805755395683455,11.740020567064102,2.8261451090166867
9.5,4,2024,110,1.1272727272727272,48.18181818181818,15.790272314944248,1.5715128567259928
9.5,4,2025,129,1.0155038759689923,53.48837209302325,17.2663850975609,6.068555415867522
9.5,5,2021,212,1.2075471698113207,47.64150943396226,17.74854898532262,4.851175969061799
9.5,5,2022,146,1.2534246575342465,43.83561643835616,15.283087014669395,2.3346601521117503
9.5,5,2023,278,1.0611510791366907,50.0,15.394275828897975,2.890966184316196
9.5,5,2024,110,1.2636363636363637,48.18181818181818,19.91937513783063,3.7719745424552977
9.5,5,2025,129,1.0852713178294573,46.51162790697674,12.730615951825413,5.065634651720624
9.5,6,2021,211,1.033175355450237,51.18483412322274,15.597320673504711,1.236681986278565
9.5,6,2022,146,1.178082191780822,43.15068493150685,12.36382435782425,2.8366819784734987
9.5,6,2023,278,1.1618705035971224,44.96402877697842,13.67399358477715,1.4884570471516756
9.5,6,2024,110,1.3636363636363635,42.72727272727273,17.15435673596266,5.567806485950522
9.5,6,2025,129,0.9147286821705426,55.03875968992248,14.976228876373188,-0.8018842207428101
9.5,7,2021,211,0.9004739336492891,59.71563981042654,19.07793797529732,4.423934595488788
9.5,7,2022,146,0.952054794520548,50.68493150684932,12.090214906357122,-0.6267818333162034
9.5,7,2023,277,1.0036101083032491,53.42960288808665,16.77422779521188,2.634918380059059
9.5,7,2024,110,1.2272727272727273,50.0,20.690917271624432,2.694871655607778
9.5,7,2025,129,1.2790697674418605,44.18604651162791,16.356440497914427,0.7070336407683175
9.5,8,2021,210,1.161904761904762,51.90476190476191,20.615798637851036,1.0990464046381265
9.5,8,2022,145,0.9379310344827586,54.48275862068965,15.339071868571702,1.3092794172128719
9.5,8,2023,277,1.03971119133574,51.26353790613718,15.907860158569342,0.9702389801780842
9.5,8,2024,110,1.1363636363636365,46.36363636363636,14.265224648761098,3.8837813142055646
9.5,8,2025,129,1.0775193798449612,54.263565891472865,20.219668005330337,5.9450731601406295
9.5,9,2021,210,0.819047619047619,63.8095238095238,19.724392506498933,2.182956431767913
9.5,9,2022,145,0.7724137931034483,59.310344827586206,13.120664995134629,0.5301410877262214
9.5,9,2023,277,0.6931407942238267,63.1768953068592,13.176575989033633,1.9315759880070393
9.5,9,2024,110,0.6090909090909091,65.45454545454545,11.07004055422266,2.2495990951435063
9.5,9,2025,129,1.0,56.58914728682171,19.80120316967747,3.9228680446248387
