n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,clean_i1_i8,target_cell,seasons,season_p0_sd_pp,season_nb_residual_mean_pp,season_nb_residual_sd_pp
1839,0.5372485046220772,1.2128392151433014,71.56063077759653,15.551930396954866,12.887438825448614,1.8891013384321225,45.31548757170172,58.43538894353794,13.125241834058588,70.61838098200607,0.9422497955904441,9.0,5,bottom,True,False,5,1.4167383583075113,1.2201431276572405,1.3057141983828464
875,0.5885714285714285,1.2218372016999017,69.6,14.62857142857143,15.771428571428572,1.9360902255639099,51.8796992481203,55.51197467650915,14.08802532349085,67.06159174283985,2.5384082571601407,9.5,5,bottom,True,False,5,2.6367708840541626,2.6333960869651363,0.9020329408023423
655,0.38778625954198476,0.8371594649485259,78.16793893129771,12.213740458015266,9.618320610687023,1.7762237762237763,44.05594405594406,67.8557362926809,10.312202638616807,77.29618905699942,0.8717498742982888,7.0,6,top,True,False,5,4.171697979890582,1.0363294175563231,1.0122654047527373
1611,0.43947858472998136,0.8688504111870641,75.66728739913098,12.60086902545003,11.731843575418994,1.8061224489795917,48.214285714285715,64.43723190711022,11.230055492020764,73.59512374577952,2.0721636533514554,7.5,6,top,True,False,5,1.864426940220976,2.0521931584094744,0.6989843404608823
2145,0.4489510489510489,0.9098228264273039,74.63869463869463,14.219114219114218,11.142191142191143,1.7702205882352942,43.93382352941176,63.82973432535305,10.808960313341586,73.42482819755568,1.2138664411389555,8.0,6,top,True,False,5,1.9201720306894146,1.155523009360373,1.2597764958127033
2869,0.5078424538166608,1.099398028169151,72.88253746950157,14.081561519693272,13.035901010805159,1.8727506426735219,48.0719794344473,60.17925744172763,12.703280027773944,71.4105500952272,1.471987374274386,8.5,6,top,True,True,5,1.7262777825168087,1.5215554432440848,0.8343213360912127
1839,0.48341489940184884,0.9234190176451341,71.94127243066885,15.606307775965197,12.45241979336596,1.7228682170542635,44.37984496124031,61.667391265112094,10.273881165556753,70.91149559636781,1.0297768343010327,9.0,6,top,True,True,5,3.034025359721682,1.215368510105863,1.0728344229912026
874,0.5640732265446224,1.130483275273197,69.79405034324942,15.217391304347828,14.988558352402745,1.8674242424242424,49.621212121212125,56.88871320149045,12.905337141758977,67.66946954273546,2.1245808005139755,9.5,6,top,True,False,5,4.195448260314756,2.4764465040847217,1.6062750865419162
655,0.4549618320610687,0.9517146392137638,73.74045801526718,15.572519083969466,10.687022900763358,1.7325581395348837,40.69767441860465,63.44721839816591,10.293239617101268,73.52561748128248,0.21484053398469483,7.0,6,bottom,True,False,5,3.6759466815851165,0.537854389416601,1.892310812549068
1611,0.48044692737430167,1.0684062597591866,73.9292364990689,13.842333954065797,12.2284295468653,1.8428571428571427,46.904761904761905,61.85069023595329,12.07854626311562,73.06917226729212,0.8600642317767915,7.5,6,bottom,True,False,5,2.4520360707626563,1.1566272844707193,1.685680655394507
2144,0.5018656716417911,1.0069960510095346,71.96828358208955,15.438432835820896,12.593283582089551,1.7903494176372712,44.92512479201331,60.540012758971486,11.42827082311807,70.66373760385417,1.304545978235383,8.0,6,bottom,True,False,5,2.4778054231791193,1.2976125968646923,1.0256920302863615
2869,0.5322411990240502,1.141655400659092,71.52317880794702,14.987800627396306,13.489020564656675,1.869033047735618,47.368421052631575,58.728726596446556,12.794452211500463,70.13573614101203,1.3874426669349904,8.5,6,bottom,True,True,5,1.8495418424444314,1.4756048736479688,0.3566612655754715
1837,0.5449101796407185,1.2187063780934861,71.20304844855742,15.405552531301034,13.391399020141534,1.892249527410208,46.502835538752365,57.98938672762163,13.213661720935798,70.13751696787358,1.0655314806838456,9.0,6,bottom,True,True,5,3.248525964051655,1.3509526476574019,0.7214800312783446
874,0.5583524027459954,1.0532921276746325,68.53546910755148,17.391304347826086,14.073226544622425,1.7745454545454546,44.72727272727273,57.21509620552527,11.320372902026211,67.046627380229,1.4888417273224874,9.5,6,bottom,True,False,5,4.185527868911037,1.7655634247559981,1.8220048277517105
655,0.4015267175572519,0.8033615799425732,77.09923664122137,12.061068702290076,10.839694656488549,1.7533333333333334,47.333333333333336,66.92974374682362,10.169492894397758,75.71017586489249,1.3890607763288765,7.0,7,top,True,False,5,4.756376686919553,1.8798625478885023,0.8310571092364973
1610,0.44285714285714284,0.9380005327177483,75.15527950310559,13.850931677018632,10.993788819875776,1.7825,44.25,64.21989432412342,10.935385178982171,74.28445204647188,0.8708274566337049,7.5,7,top,True,False,5,2.561170943537592,1.0657701668647301,0.6475173443203407
2144,0.45802238805970147,0.9305749019717093,74.44029850746269,13.852611940298507,11.707089552238806,1.7919708029197081,45.8029197080292,63.25333148552252,11.186967021940164,73.00067457449634,1.4396239329663385,8.0,7,top,True,False,5,1.3930418350989335,1.4851471802457783,0.6594880918226339
2867,0.4492500871991629,0.9606998910284291,75.44471573072899,12.940355772584583,11.614928496686431,1.8295454545454546,47.30113636363637,63.81064964708941,11.63406608363957,74.08628830688599,1.3584274238429894,8.5,7,top,True,False,5,0.6046126570857788,1.4365340658812653,0.6039311109617922
1836,0.5179738562091504,1.0465432494523697,71.56862745098039,15.359477124183007,13.071895424836603,1.8218390804597702,45.97701149425287,59.572635324191694,11.995992126788702,69.97723062134722,1.5913968296331737,9.0,7,top,True,False,5,1.0857393865931357,1.6356853776962144,0.6937790627773566
873,0.5200458190148912,1.194838530008302,73.08132875143184,13.974799541809851,12.943871706758307,1.9319148936170212,48.08510638297872,59.449330824840715,13.631997926591122,71.64879687233132,1.4325318791005182,9.5,7,top,True,False,5,4.128156182008336,1.5791923081189863,1.93076586184005
652,0.5030674846625767,1.0921564747014976,73.46625766871165,13.190184049079754,13.34355828220859,1.8959537572254335,50.28901734104046,60.46729868647086,12.998958982240794,71.6752178124645,1.7910398562471563,7.0,7,bottom,True,False,5,3.267303968275015,2.062517671092081,0.7385894011195709
1610,0.49130434782608695,0.9573513119139622,72.60869565217392,14.534161490683232,12.857142857142856,1.7936507936507937,46.93877551020408,61.18278371902149,11.425911933152433,70.7855779332588,1.8231177189151127,7.5,7,bottom,True,False,5,3.0010919468363157,1.9403044056926055,1.0498641762959062
2144,0.45475746268656714,1.0049516910315432,75.18656716417911,13.386194029850746,11.42723880597015,1.8327067669172932,46.05263157894737,63.46018639158901,11.726380772590094,74.22694985292972,0.9596173112493833,8.0,7,bottom,True,False,5,1.2950349267176562,0.9167734710486686,0.8400557484923815
2865,0.48097731239092495,1.0081051897783888,73.50785340314137,14.45026178010471,12.041884816753926,1.8155467720685112,45.45454545454545,61.817894254601704,11.689959148539664,72.26970510161452,1.2381483015268424,8.5,7,bottom,True,False,5,1.3605616735066217,1.2462784729566367,0.6440648850141565
1835,0.5645776566757493,1.367010658497232,72.31607629427793,13.514986376021799,14.168937329700274,2.0393700787401574,51.181102362204726,56.86002405687339,15.456052237404538,70.37942904381327,1.9366472504646515,9.0,7,bottom,True,False,5,1.8706082201681549,1.8471623522819502,1.6388009979570488
873,0.5189003436426117,1.05726851413979,71.70675830469645,14.318442153493699,13.974799541809851,1.834008097165992,49.392712550607285,59.51746758623986,12.189290718456592,70.04983888119585,1.6569194235005913,9.5,7,bottom,True,False,5,3.8627798305420202,1.5196210293941226,1.775249513691916
651,0.38095238095238093,0.6946520146520146,75.72964669738863,15.360983102918588,8.90937019969278,1.5696202531645569,36.708860759493675,68.32104226749482,7.408604429893806,75.73614341154075,-0.006496714152126604,7.0,8,top,True,False,5,3.495174467911648,-0.4152766303441613,2.0501184496540668
1609,0.42013673088875075,0.9054649066661719,76.88004972032319,11.99502796768179,11.124922311995029,1.8172043010752688,48.11827956989247,65.69569873610081,11.18435098422237,75.63316477991285,1.2468849404103421,7.5,8,top,True,False,5,3.1203557741213053,1.3059861312157728,1.5775972146588033
2144,0.4822761194029851,1.0234841309086855,73.88059701492537,13.292910447761194,12.826492537313433,1.8464285714285715,49.107142857142854,61.73765685779921,12.14294015712617,72.37028830046413,1.5103087144612504,8.0,8,top,True,False,5,1.1315902570444698,1.6883067545043027,1.681963860602709
2862,0.4451432564640112,0.9503276795752709,75.6114605171209,12.753319357092943,11.635220125786164,1.825214899713467,47.70773638968481,64.07324803877985,11.538212478341048,74.26893075802651,1.3425297590943797,8.5,8,top,True,True,5,2.3493306468266555,1.3690723081084277,0.28834017973141024
1833,0.4877250409165303,1.0414704221728284,73.10420076377522,15.057283142389524,11.838516093835242,1.8133874239350913,44.01622718052739,61.40216806727062,11.702032696504606,72.18829609155596,0.9159046722192699,9.0,8,top,True,False,5,2.709459647564954,0.9695892275293305,0.1446195308822336
871,0.5177956371986223,1.128131227153358,72.56027554535017,14.121699196326063,13.318025258323765,1.887029288702929,48.53556485355649,59.58325324644341,12.97702229890676,71.02850729932102,1.5317682460291526,9.5,8,top,True,False,5,1.9431298072019425,1.8100288002803766,1.3874735440903538
