n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,season
363,0.44352617079889806,0.7171057638159597,72.45179063360881,16.2534435261708,11.294765840220386,1.61,41.0,64.17694378955993,8.274846844048888,70.7883287767936,1.663461856815207,8.0,1,top,2021
443,0.39954853273137697,0.8603617866663943,77.42663656884876,13.092550790067719,9.480812641083523,1.77,42.0,67.06227419194268,10.364362376906078,76.66559725466644,0.7610393141823213,8.0,1,top,2022
372,0.3736559139784946,0.79531490015361,77.41935483870968,13.709677419354838,8.870967741935484,1.6547619047619047,39.285714285714285,68.82136757987084,8.597987258838835,77.87017181402054,-0.45081697531086373,8.0,1,top,2023
589,0.44991511035653653,0.76151784992435,71.98641765704585,16.97792869269949,11.03565365025467,1.606060606060606,39.39393939393939,63.76822819457462,8.218189462471226,71.04434196707093,0.9420756899749083,8.0,1,top,2024
379,0.44327176781002636,0.9934665158939565,74.14248021108179,15.303430079155673,10.554089709762533,1.7142857142857142,40.816326530612244,64.19327267284693,9.94920753823486,74.960539997117,-0.8180597860351968,8.0,1,top,2025
526,0.5038022813688213,1.1723664674995475,74.33460076045627,12.547528517110266,13.11787072243346,1.962962962962963,51.11111111111111,60.42288383450239,13.911716925953876,72.56799901391638,1.7666017465398864,8.5,1,top,2021
506,0.45454545454545453,0.9177317731773177,74.70355731225297,13.043478260869565,12.25296442687747,1.796875,48.4375,63.47364189402819,11.229915418224778,73.09508532856695,1.6084719836860106,8.5,1,top,2022
628,0.4984076433121019,1.0255158016639745,72.61146496815286,14.808917197452228,12.579617834394904,1.819767441860465,45.93023255813954,60.74972422328735,11.861740744865513,71.17442766359207,1.4370373045607843,8.5,1,top,2023
733,0.47066848567530695,1.0227040607131408,74.48840381991815,13.915416098226466,11.596180081855389,1.8449197860962567,45.45454545454545,62.458460283655704,12.029943536262444,73.24024266673695,1.2481611531812042,8.5,1,top,2024
478,0.4456066945606695,0.7465110567265775,72.17573221757321,16.527196652719663,11.297071129707113,1.6015037593984962,40.6015037593985,64.043560934261,8.132171283312228,71.14226739484812,1.0334648227250942,8.5,1,top,2025
383,0.5796344647519582,1.2495318032069773,69.9738903394256,14.621409921671018,15.404699738903393,1.9304347826086956,51.30434782608696,56.01030665639558,13.963583683030013,68.0286418141115,1.9452485253140916,9.0,1,top,2021
268,0.5,0.9325842696629213,72.38805970149254,12.686567164179104,14.925373134328357,1.8108108108108107,54.054054054054056,60.653065971263345,11.734993730229192,69.75029421724747,2.6377654842450693,9.0,1,top,2022
493,0.5030425963488844,1.0635069839542208,73.02231237322515,14.198782961460447,12.778904665314403,1.8646616541353382,47.368421052631575,60.46880363429642,12.55350873892873,71.31814150479453,1.7041708684306212,9.0,1,top,2023
378,0.4523809523809524,0.7841985600606289,72.75132275132276,16.137566137566136,11.11111111111111,1.6601941747572815,40.77669902912621,63.61117952584976,9.140143225472997,71.22705877896914,1.5242639723536233,9.0,1,top,2024
317,0.48264984227129337,1.041628399153456,72.2397476340694,15.141955835962145,12.618296529968454,1.7386363636363635,45.45454545454545,61.71458839447032,10.52515923959908,72.57281177331089,-0.33306413924149014,9.0,1,top,2025
212,0.45754716981132076,0.7991370830725208,73.11320754716981,14.150943396226415,12.735849056603774,1.7017543859649122,47.368421052631575,63.283397766372154,9.82980978079766,71.05135959964193,2.061847947527884,9.5,1,top,2021
146,0.5821917808219178,0.975956542276807,67.8082191780822,15.753424657534246,16.43835616438356,1.8085106382978724,51.06382978723404,55.86725359301104,11.940965585071151,64.10179840954972,3.7064207685324813,9.5,1,top,2022
