pregame_total,inning,n,mean_runs,run_variance,variance_to_mean,p0_under_pct,p1_pct,p2_pct,p3plus_pct,fair_under_american,poisson_p0_pct,poisson_zero_residual_pp,nb_p0_pct,nb_zero_residual_pp,p0_ci95_lo_pct,p0_ci95_hi_pct,clean_i1_i8,seasons,season_p0_sd_pp,season_poisson_resid_mean_pp,season_poisson_resid_sd_pp,season_nb_resid_mean_pp,season_nb_resid_sd_pp,seasons_poisson_resid_positive,seasons_poisson_resid_negative,persistent_zero_score
7.5,4,1612,0.9181141439205955,1.939907552450353,2.1129263341553846,55.955334987593055,20.471464019851116,11.352357320099255,12.220843672456576,-127.04225352112677,39.927129974373706,16.02820501321935,53.94920213328695,2.0061328543060974,53.660049627791565,58.37468982630273,True,5,2.5115470893953886,15.8880340509267,1.1915187923894586,2.1997742593965874,1.0813407874193763,5,0,7.313742902356528
7.5,5,1612,0.955955334987593,2.13399927298828,2.2323211084082466,56.07940446650124,18.92059553349876,11.662531017369728,13.337468982630273,-127.68361581920902,38.444469559400616,17.634934907100618,53.63608174973393,2.4433227167673044,53.59801488833747,58.498759305210925,True,5,5.25235494721077,17.088150233163994,4.097634127340365,2.6015797542100003,1.4615580968172353,5,0,3.4594351941655437
7.5,6,1611,0.9199255121042831,1.8948263298518337,2.0597606055271958,55.92799503414029,19.118559900682804,12.352576039726877,12.60086902545003,-126.90140845070424,39.8548727034896,16.07312233065069,53.4061508189332,2.521844215207092,53.505586592178766,58.28677839851024,True,5,2.36153866021544,16.08953754300035,2.3510203149526983,2.683794398917314,1.1723165493353054,5,0,4.796486090797564
7.5,7,1610,0.9341614906832298,1.8726047967758996,2.00458359229335,54.09937888198758,21.490683229813666,12.546583850931677,11.863354037267081,-117.86197564276051,39.291519048912576,14.807859833075005,52.377885406683845,1.721493475303737,51.73913043478261,56.45962732919255,True,5,3.4193316049166644,14.584203064609165,2.5222577127984125,1.763262559316803,1.9442804743057547,5,0,4.204081881705996
7.5,8,1609,0.8986948415164698,2.013984613909941,2.241010542033952,56.86761963952765,20.136730888750776,11.622125543816034,11.37352392790553,-131.8443804034582,40.710064401509584,16.157555238018073,55.74696564733592,1.1206539921917336,54.443753884400245,59.35363579863269,True,5,3.800523542258827,16.20195116152857,1.6108634580233199,1.2447211017987347,1.7105990847426509,5,0,6.188586840252048
7.5,9,1607,0.6596141879278158,1.3666307352406695,2.071863765595996,65.6502800248911,17.29931549471064,9.147479775980088,7.902924704418171,-191.12318840579712,51.70507804479255,13.945201980098554,63.87258607821001,1.7776939466810915,63.285625388923464,68.01493466085874,False,5,0.9774492087829901,13.748943387841866,1.4835505729360365,1.6277029390772402,0.7369188136221112,5,0,5.6150263787914865
8.0,1,2146,0.972972972972973,2.029106029106029,2.0854700854700856,53.12208760484622,21.99440820130475,11.46318732525629,13.42031686859273,-113.32007952286281,37.79577080933165,15.326316795514577,51.7461494073679,1.3759381974783214,50.978564771668225,55.265610438024225,True,5,3.726296684010453,15.184344920059493,0.7506670086874081,1.1722504912666487,1.4912985117618363,5,0,8.754558530811488
8.0,2,2146,0.8727865796831314,1.8817112989526785,2.1559810184476498,57.735321528424976,19.94408201304753,10.764212488350418,11.556383970177073,-136.60418963616317,41.77857324473771,15.956748283687267,55.987624379552834,1.7476971488721404,55.59179869524697,59.92544268406338,True,5,2.0385175638128623,15.931149007816156,2.177736766186233,1.772718446665089,0.4403790688084814,5,0,5.02141916016467
8.0,3,2146,0.9520037278657968,1.9384878246947213,2.036218733135033,54.14725069897484,21.202236719478098,11.78937558247903,12.861136999068034,-118.08943089430895,38.59668755388462,15.550563145090212,52.03243883391402,2.114811865060817,52.095759552656105,56.33737185461324,True,5,0.86041988661367,15.684854789711562,2.2456814757048167,2.249620125241274,1.1034514257159296,5,0,4.791155035234419
8.0,4,2146,0.9613233923578751,2.0026992268371577,2.083273165677431,54.007455731593666,21.90121155638397,10.344827586206897,13.74650512581547,-117.42654508611957,38.238650360111485,15.76880537148218,52.13588177674685,1.8715739548468169,51.863932898415655,56.10438024231128,True,5,1.9195426470336308,15.552807991196266,1.788820915582377,1.8751597914141294,1.0400649111665163,5,0,5.654291131917034
