pregame_total,inning,clean_i1_i8,n,mean_runs,run_variance,p0_under_pct,p1_pct,p2_pct,p3plus_pct,score_pct,mean_runs_given_score,multi_run_given_score_pct,threeplus_given_score_pct,runs_from_multi_run_innings_pct,nb_p0_pct,nb_zero_residual_pp,seasons,season_p0_sd_pp,season_nb_zero_resid_sd_pp,season_mean_runs_given_score_sd,season_multi_run_given_score_sd_pp,seasons_nb_resid_positive,seasons_nb_resid_negative
8.0,3,True,2146,0.9520037278657968,1.9384878246947213,54.14725069897484,21.202236719478098,11.78937558247903,12.861136999068034,45.85274930102516,2.076219512195122,53.760162601626014,28.04878048780488,77.72883015173764,52.03243883391402,2.114811865060817,5,0.86041988661367,1.1034514257159296,0.1372460614734153,4.214788991096175,5,0
8.0,4,True,2146,0.9613233923578751,2.0026992268371577,54.007455731593666,21.90121155638397,10.344827586206897,13.74650512581547,45.992544268406334,2.0901722391084094,52.38095238095239,29.88855116514691,77.21764420746486,52.13588177674685,1.8715739548468169,5,1.9195426470336308,1.0400649111665163,0.08244842322595859,2.3706897775445093,5,0
8.0,5,True,2146,0.9930102516309413,2.1188322395218946,52.79589934762349,22.367194780987884,11.276794035414724,13.560111835973904,47.20410065237651,2.1036525172754197,52.61599210266535,28.726554787759127,77.47536367902393,51.489056130416714,1.3068432172067768,5,3.275328120431611,1.581947609296299,0.12840108288946864,4.579262133033449,4,1
8.0,6,True,2145,0.9505827505827505,1.9415866471836623,54.07925407925408,21.165501165501166,11.981351981351981,12.773892773892772,45.92074592074592,2.07005076142132,53.90862944162437,27.81725888324873,77.73418342324669,52.14187836574723,1.9373757135068503,5,3.216927645861098,0.8349874179088959,0.07354397255466284,1.7766325757088886,5,0
8.0,7,True,2144,0.9127798507462687,1.956458157764607,56.809701492537314,19.496268656716417,10.867537313432836,12.826492537313433,43.190298507462686,2.113390928725702,54.85961123110151,29.697624190064797,78.64077669902913,54.4101202912479,2.3995812012894135,5,1.7168321539983487,1.2554374436883649,0.09721442631685176,2.6680442330747205,5,0
8.0,8,True,2144,0.988339552238806,2.167386135700406,54.24440298507462,19.58955223880597,13.013059701492539,13.152985074626866,45.75559701492538,2.1600407747196737,57.18654434250765,28.74617737003058,80.1793298725814,52.17515975060708,2.0692432344675438,5,1.5235110461735595,1.1141428822816415,0.10614737158257159,2.790840890079098,5,0
8.0,9,False,2143,0.6710219318712086,1.4962980681462195,65.2356509566029,18.33877741483901,8.586094260382641,7.839477368175456,34.764349043397104,1.9302013422818791,47.24832214765101,22.550335570469798,72.67037552155772,64.56211718990933,0.6735337666935681,5,2.4915231549651513,1.0340354460501775,0.10299614961846396,3.5669886866275324,4,1
8.5,1,True,2871,1.049808429118774,2.1121524023122,51.2365029606409,21.003134796238246,13.061650992685475,14.69871125043539,48.7634970393591,2.152857142857143,56.92857142857143,30.142857142857142,79.99336429993365,48.41983213957745,2.816670821063444,5,1.333190052722341,1.0101699918463154,0.11155265019283364,4.3077878963265945,5,0
8.5,2,True,2871,0.896551724137931,1.8656013456686293,56.14768373389063,21.38627655869035,10.170672239637756,12.295367467781261,43.85231626610937,2.044479745830024,51.23113582208102,28.038125496425735,76.14607614607614,54.45329138486805,1.6943923490225776,5,2.537596578728993,0.6522951446710844,0.07577697323287479,2.2581112398733647,5,0
8.5,3,True,2871,1.0794148380355277,2.399265998929582,51.48032044583769,20.2020202020202,13.444792755137582,14.872866597004528,48.51967955416231,2.224694903086863,58.3632447954056,30.65326633165829,81.28428525330752,49.4052281302492,2.0750923155884946,5,2.2689559712548726,0.7580508425283455,0.07288582226729921,1.510432928309553,5,0
8.5,4,True,2871,0.9958202716823407,2.0306445446899613,52.385928247997214,22.152560083594565,11.494252873563218,13.967258794845003,47.614071752002786,2.091441111923921,53.474762253109,29.334308705193855,77.75445960125919,50.51908251099403,1.8668457370031866,5,1.732766507288632,0.696876250488921,0.06972126076591077,2.472344303070871,5,0
8.5,5,True,2871,1.036224312086381,2.230743091129971,52.10727969348659,20.89864158829676,12.852664576802509,14.14141414141414,47.89272030651341,2.1636363636363636,56.36363636363636,29.52727272727273,79.83193277310924,50.19585932228551,1.911420371201078,5,3.6912827489967217,0.8964841348410906,0.07629041208073699,1.7895370464316616,5,0
8.5,6,True,2869,1.0400836528407111,2.229564288676192,52.21331474381318,20.669222725688392,12.966190310212616,14.151272220285813,47.78668525618682,2.176513493800146,56.74690007293947,29.61342086068563,80.12734584450402,49.98432434663825,2.2289903971749236,5,1.936741177420093,0.6107882266691447,0.07514197022124909,1.7570965704043235,5,0
8.5,7,True,2867,0.9298918730380188,1.937511607285639,55.56330659225671,19.986048133937913,12.277642134635508,12.173003139169863,44.43669340774329,2.0926216640502355,55.023547880690735,27.39403453689168,78.50712678169542,53.26089144554786,2.302415146708847,5,1.5140985111659988,0.9623641032086765,0.11192129694862078,3.8170217452047535,5,0
8.5,8,True,2862,0.9479385045422781,2.0158136445916814,55.52061495457722,19.39203354297694,12.54367575122292,12.54367575122292,44.47938504542278,2.131186174391202,56.402199528672426,28.201099764336213,79.54294139329156,52.999841607797926,2.5207733467792925,5,1.9682616820235879,0.7998713595069543,0.11345782706679215,3.67259706093303,5,0
