core_stability_rank,sample_tier,pregame_total,inning,N,min_season_n,over05,under05,over_fair_odds,under_fair_odds,annual_sd_pp,annual_range_pp,pooled_se_pp,p2021,p2022,p2023,p2024,p2025
45,CORE,9.500000,2,875,110,0.478857,0.521143,109,-109,3.937633,8.302117,1.688937,0.528302,0.458904,0.464029,0.445455,0.480620
50,CORE,9.500000,3,875,110,0.484571,0.515429,106,-106,5.820877,15.846707,1.689593,0.466981,0.561644,0.496403,0.481818,0.403101
38,CORE,9.500000,4,875,110,0.522286,0.477714,-109,109,3.606492,10.631949,1.688475,0.504717,0.506849,0.571942,0.518182,0.465116
36,CORE,9.500000,5,875,110,0.523429,0.476571,-110,110,3.399361,8.808438,1.687960,0.523585,0.561644,0.500000,0.518182,0.534884
46,CORE,9.500000,6,874,110,0.526316,0.473684,-111,111,4.085223,12.239006,1.689404,0.488152,0.568493,0.550360,0.572727,0.449612
49,CORE,9.500000,7,873,110,0.473081,0.526919,111,-111,5.810297,15.596900,1.689141,0.402844,0.493151,0.465704,0.500000,0.558140
51,CORE,9.500000,8,871,110,0.482204,0.517796,107,-107,3.990210,9.178882,1.693565,0.480952,0.455172,0.487365,0.536364,0.457364
30,CORE,9.500000,9,871,110,0.380023,0.619977,163,-163,3.624695,8.865397,1.644872,0.361905,0.406897,0.368231,0.345455,0.434109
,THIN,10.000000,1,261,22,0.540230,0.459770,-117,117,5.489525,14.199134,3.084407,0.523810,0.459459,0.554217,0.600000,0.590909
,THIN,10.000000,2,261,22,0.498084,0.501916,101,-101,8.827148,20.060060,3.094119,0.440476,0.648649,0.481928,0.457143,0.590909
,THIN,10.000000,3,261,22,0.555556,0.444444,-125,125,12.274456,34.242424,3.076973,0.547619,0.567568,0.554217,0.428571,0.772727
,THIN,10.000000,4,261,22,0.544061,0.455939,-119,119,8.640804,21.861472,3.083121,0.523810,0.486486,0.590361,0.628571,0.409091
,THIN,10.000000,5,261,22,0.544061,0.455939,-119,119,6.252218,14.964286,3.083121,0.595238,0.486486,0.493976,0.628571,0.500000
,THIN,10.000000,6,261,22,0.528736,0.471264,-112,112,6.814795,16.233766,3.088668,0.571429,0.486486,0.530120,0.542857,0.409091
,THIN,10.000000,7,260,22,0.492308,0.507692,103,-103,8.773694,21.590909,3.100691,0.469880,0.513514,0.530120,0.371429,0.590909
,THIN,10.000000,8,259,22,0.517375,0.482625,-107,107,8.262033,18.229133,3.104147,0.573171,0.513514,0.469880,0.514286,0.500000
,THIN,10.000000,9,259,22,0.366795,0.633205,173,-173,4.098661,10.403548,2.994139,0.317073,0.378378,0.421687,0.371429,0.318182
,THIN,10.500000,1,186,11,0.586022,0.413978,-142,142,9.307822,26.220096,3.611385,0.552632,0.555556,0.604651,0.586207,0.818182
,THIN,10.500000,2,186,11,0.553763,0.446237,-124,124,10.952838,26.555024,3.645709,0.631579,0.407407,0.581395,0.517241,0.363636
